name,address,location,description,rating,cancellation_policy_days,image_url
Wyndham Legend Halong,"12 Hạ Long, Bãi Cháy, Quảng Ninh 02033, Việt Nam",Hạ Long,,4.4,5,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1200&q=80
FLC Grand Hotel Hạ Long,"Hẻm 16 Nguyễn Văn Cừ, Hạ Long, Quảng Ninh 200000, Việt Nam",Hạ Long,,4.4,5,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1200&q=80
Best Western Premier Sapphire Halong,"dịch vụ cao cấp, Khu, Tòa nhà S2, Lô HH05, Bến Đoan, Hồng Gai, Quảng Ninh, Việt Nam",Hạ Long,,4.7,7,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?auto=format&fit=crop&w=1200&q=80
Paddington Hotel Hạ Long,"Lô dịch vụ 02, cột 5 - cột 8 mở rộng, đường, Điện Biên Phủ, Hạ Long, Quảng Ninh, Việt Nam",Hạ Long,,4.6,7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?auto=format&fit=crop&w=1200&q=80
Oakwood Ha Long,"09 Hạ Long, Road, Bãi Cháy, Quảng Ninh 200000, Việt Nam",Hạ Long,,4.8,5,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?auto=format&fit=crop&w=1200&q=80
Melissa - Vung Tau | Khách Sạn Bãi Sau Vũng Tàu,"23D Thùy Vân, Vũng Tàu, Hồ Chí Minh 790000, Việt Nam",Vũng Tàu,,4.7,5,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?auto=format&fit=crop&w=1200&q=80
Fusion Suites Vũng Tàu,"2 Trương Công Định, Phường, Vũng Tàu, Hồ Chí Minh 78000, Việt Nam",Vũng Tàu,,4.8,3,https://images.unsplash.com/photo-1564501049412-61c2a3083791?auto=format&fit=crop&w=1200&q=80
Khách sạn Golden Era - Vũng Tàu,"Khách sạn Golden Era, 03 - 05 Thùy Vân, Vũng Tàu, Hồ Chí Minh 78000, Việt Nam",Vũng Tàu,,4.9,5,https://images.unsplash.com/photo-1571003123894-1f0594d2b5d9?auto=format&fit=crop&w=1200&q=80
Mia Hotel Vũng Tàu,"11/8 Trần Quý Cáp, Vũng Tàu, Hồ Chí Minh, Việt Nam",Vũng Tàu,,4.8,7,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?auto=format&fit=crop&w=1200&q=80
Aloha Hotel Vũng Tàu,"12 La Văn Cầu, Vũng Tàu, Hồ Chí Minh, Việt Nam",Vũng Tàu,,4.8,5,https://images.unsplash.com/photo-1590490360182-c33d57733427?auto=format&fit=crop&w=1200&q=80
